noise_type,snr_train,snr_test,accuracy
white,0,0,0.7903885480572597
white,0,6,0.8413087934560327
white,0,12,0.8609406952965235
white,0,18,0.8711656441717791
white,0,24,0.8779141104294479
white,0,30,0.8775051124744376
white,6,0,0.7069529652351738
white,6,6,0.865439672801636
white,6,12,0.8930470347648262
white,6,18,0.9079754601226994
white,6,24,0.90920245398773
white,6,30,0.9151329243353783
white,12,0,0.5777096114519428
white,12,6,0.8646216768916155
white,12,12,0.9061349693251534
white,12,18,0.92719836400818
white,12,24,0.9349693251533743
white,12,30,0.9406952965235174
white,18,0,0.47116564417177914
white,18,6,0.8047034764826176
white,18,12,0.9192229038854806
white,18,18,0.9370143149284254
white,18,24,0.945398773006135
white,18,30,0.9482617586912065
white,24,0,0.23578732106339467
white,24,6,0.6081799591002045
white,24,12,0.898159509202454
white,24,18,0.9404907975460123
white,24,24,0.949079754601227
white,24,30,0.9543967280163599
white,30,0,0.2560327198364008
white,30,6,0.7323108384458078
white,30,12,0.8936605316973415
white,30,18,0.9368098159509203
white,30,24,0.9443762781186094
white,30,30,0.9501022494887525
pink,0,0,0.710838445807771
pink,0,6,0.8042944785276074
pink,0,12,0.8278118609406953
pink,0,18,0.8406952965235174
pink,0,24,0.8468302658486707
pink,0,30,0.8515337423312883
pink,6,0,0.6883435582822086
pink,6,6,0.8476482617586912
pink,6,12,0.8897750511247444
pink,6,18,0.9087934560327199
pink,6,24,0.9151329243353783
pink,6,30,0.9161554192229039
pink,12,0,0.5451942740286299
pink,12,6,0.8220858895705522
pink,12,12,0.903680981595092
pink,12,18,0.9257668711656442
pink,12,24,0.9372188139059304
pink,12,30,0.940081799591002
pink,18,0,0.2950920245398773
pink,18,6,0.7889570552147239
pink,18,12,0.9038854805725971
pink,18,18,0.9347648261758691
pink,18,24,0.9466257668711656
pink,18,30,0.9521472392638037
pink,24,0,0.20879345603271984
pink,24,6,0.6488752556237218
pink,24,12,0.8752556237218814
pink,24,18,0.9351738241308793
pink,24,24,0.947239263803681
pink,24,30,0.9552147239263804
pink,30,0,0.17259713701431492
pink,30,6,0.5548057259713701
pink,30,12,0.8862985685071575
pink,30,18,0.9282208588957055
pink,30,24,0.9464212678936605
pink,30,30,0.9529652351738241
babble,0,0,0.7537832310838446
babble,0,6,0.8693251533742331
babble,0,12,0.9075664621676892
babble,0,18,0.9220858895705522
babble,0,24,0.9265848670756647
babble,0,30,0.9306748466257668
babble,6,0,0.754601226993865
babble,6,6,0.8844580777096115
babble,6,12,0.9241308793456032
babble,6,18,0.938036809815951
babble,6,24,0.9415132924335379
babble,6,30,0.9460122699386503
babble,12,0,0.7302658486707566
babble,12,6,0.8791411042944786
babble,12,12,0.9292433537832311
babble,12,18,0.9451942740286299
babble,12,24,0.9511247443762781
babble,12,30,0.9550102249488752
babble,18,0,0.6901840490797546
babble,18,6,0.8697341513292434
babble,18,12,0.9276073619631902
babble,18,18,0.9462167689161555
babble,18,24,0.9529652351738241
babble,18,30,0.9580777096114519
babble,24,0,0.661758691206544
babble,24,6,0.8460122699386503
babble,24,12,0.9210633946830266
babble,24,18,0.9423312883435583
babble,24,24,0.9529652351738241
babble,24,30,0.9574642126789366
babble,30,0,0.5693251533742332
babble,30,6,0.810838445807771
babble,30,12,0.8997955010224948
babble,30,18,0.9347648261758691
babble,30,24,0.9431492842535787
babble,30,30,0.9501022494887525
car_horn_background,0,0,0.8560327198364008
car_horn_background,0,6,0.8936605316973415
car_horn_background,0,12,0.9137014314928426
car_horn_background,0,18,0.9194274028629856
car_horn_background,0,24,0.9265848670756647
car_horn_background,0,30,0.932719836400818
car_horn_background,6,0,0.8298568507157464
car_horn_background,6,6,0.9049079754601227
car_horn_background,6,12,0.9294478527607362
car_horn_background,6,18,0.9415132924335379
car_horn_background,6,24,0.9460122699386503
car_horn_background,6,30,0.9482617586912065
car_horn_background,12,0,0.8161554192229039
car_horn_background,12,6,0.8989775051124744
car_horn_background,12,12,0.9316973415132924
car_horn_background,12,18,0.9466257668711656
car_horn_background,12,24,0.9501022494887525
car_horn_background,12,30,0.9537832310838446
car_horn_background,18,0,0.7717791411042945
car_horn_background,18,6,0.8885480572597138
car_horn_background,18,12,0.9280163599182004
car_horn_background,18,18,0.9466257668711656
car_horn_background,18,24,0.9505112474437628
car_horn_background,18,30,0.9550102249488752
car_horn_background,24,0,0.7494887525562373
car_horn_background,24,6,0.8711656441717791
car_horn_background,24,12,0.9231083844580777
car_horn_background,24,18,0.943558282208589
car_horn_background,24,24,0.9525562372188139
car_horn_background,24,30,0.9548057259713701
car_horn_background,30,0,0.6640081799591002
car_horn_background,30,6,0.8202453987730062
car_horn_background,30,12,0.9040899795501023
car_horn_background,30,18,0.9372188139059304
car_horn_background,30,24,0.949079754601227
car_horn_background,30,30,0.9537832310838446
dog_bark_foreground,0,0,0.90920245398773
dog_bark_foreground,0,6,0.9288343558282208
dog_bark_foreground,0,12,0.9411042944785276
dog_bark_foreground,0,18,0.9456032719836401
dog_bark_foreground,0,24,0.9515337423312883
dog_bark_foreground,0,30,0.9533742331288344
dog_bark_foreground,6,0,0.905521472392638
dog_bark_foreground,6,6,0.9310838445807771
dog_bark_foreground,6,12,0.9423312883435583
dog_bark_foreground,6,18,0.9513292433537832
dog_bark_foreground,6,24,0.9558282208588957
dog_bark_foreground,6,30,0.9576687116564417
dog_bark_foreground,12,0,0.8889570552147239
dog_bark_foreground,12,6,0.9212678936605317
dog_bark_foreground,12,12,0.9396728016359919
dog_bark_foreground,12,18,0.9476482617586912
dog_bark_foreground,12,24,0.9537832310838446
dog_bark_foreground,12,30,0.9570552147239264
dog_bark_foreground,18,0,0.8938650306748466
dog_bark_foreground,18,6,0.9245398773006135
dog_bark_foreground,18,12,0.9394683026584867
dog_bark_foreground,18,18,0.9496932515337423
dog_bark_foreground,18,24,0.9552147239263804
dog_bark_foreground,18,30,0.9591002044989775
dog_bark_foreground,24,0,0.8850715746421268
dog_bark_foreground,24,6,0.9206543967280164
dog_bark_foreground,24,12,0.9376278118609407
dog_bark_foreground,24,18,0.9498977505112475
dog_bark_foreground,24,24,0.9562372188139059
dog_bark_foreground,24,30,0.9597137014314928
dog_bark_foreground,30,0,0.8668711656441718
dog_bark_foreground,30,6,0.908997955010225
dog_bark_foreground,30,12,0.9337423312883436
dog_bark_foreground,30,18,0.9470347648261759
dog_bark_foreground,30,24,0.9531697341513292
dog_bark_foreground,30,30,0.9552147239263804
